datum,cantus,vereniging
05-mei-2017,Verbroederingscantus,Wina
10-mei-2017,Plan cantus,Psychologie
15-mei-2017,Bejaardcantus,Wina
22-mei-2017,Examen cantus,Medica
05-jul-2016,Who ist die statione cantus,Niet presidium
10-aug-2017,Pre herexamen cantus,Medica
21-sep-2017,EJWiekend cantus,Wina
02-okt-2017,Openingscantus,Wina
04-okt-2017,Beroepen cantus,Milan
05-okt-2017,First time all over again,Psychologie
09-okt-2017,Cracking open a cold one with psycho,Psychologie
13-okt-2017,Colorclash cantus ,Hospitalia
16-okt-2017,Materiaal cantus,Materiaal
17-okt-2017,CantusWijzerCantus,CantusWijzer
18-okt-2017,Junior eurosong openings cantus,Pedagogie
19-okt-2017,Ketnet cantus,Wina
30-okt-2017,Kerst cantus,Pedagogie
01-nov-2017,Bar cantus cantus bar,Wina
09-nov-2017,Lettertjes en cijfertjes cantus,Eoos
13-nov-2017,ABC/C cantus,Psychologie
14-nov-2017,ochtend cantus,Psychologie
15-nov-2017,Op de boot cantus,Psychologie
16-nov-2017,She's the man cantus,Psychologie
22-nov-2017,Wilde poezen en hete tijgers cantus,Farma
23-nov-2017,Scienticantus,scientica
29-nov-2017,Kermis cantus,Geos
04-dec-2017,Sinterklaas cantus,Farma
05-dec-2017,Top 50 cantus,Wina
14-dec-2017,Winds of winter cantus,Crimen 
